	PV2	PV5	PV6	PV7	PV8	PV9
Cluster-353.0	0	0	0	0	0	30
Cluster-354.0	0	0	0	0	0	19
Cluster-355.0	0	0	0	0	0	20
Cluster-356.0	0	0	0	0	0	29
Cluster-357.0	0	0	0	0	0	27
Cluster-358.0	0	0	0	0	0	69
Cluster-359.0	0	0	0	0	0	61
Cluster-360.0	0	0	0	0	0	32
Cluster-361.0	0	0	0	0	0	19
Cluster-362.0	0	0	0	0	0	29
Cluster-363.0	0	0	0	0	0	13
Cluster-364.0	0	0	0	0	0	24
Cluster-365.0	0	0	0	0	0	19
Cluster-366.0	0	0	0	0	0	36
Cluster-367.0	0	0	0	0	0	46
Cluster-368.0	0	0	0	0	0	21
Cluster-369.0	0	0	0	0	0	18
Cluster-370.0	0	0	0	0	0	25
Cluster-371.0	0	0	0	0	0	35
Cluster-372.0	0	0	0	0	0	20
Cluster-373.0	0	0	0	0	0	26
Cluster-374.0	0	0	0	0	0	35
Cluster-375.0	0	0	0	0	0	42
Cluster-376.0	0	0	0	0	0	21
Cluster-377.0	0	0	0	0	0	26
Cluster-378.0	0	0	0	0	0	21
Cluster-379.0	0	0	0	0	0	29
Cluster-380.0	0	0	0	0	0	22
Cluster-381.0	0	0	0	0	0	36
Cluster-382.0	0	0	0	0	0	19
Cluster-383.0	0	0	0	0	0	28
Cluster-384.0	0	0	0	0	0	11
Cluster-385.0	0	0	0	0	0	12
Cluster-386.0	0	0	0	0	0	16
Cluster-387.0	0	0	0	0	0	30
Cluster-388.0	0	0	0	0	0	49
Cluster-389.0	0	0	0	0	0	12
Cluster-390.0	0	0	0	0	0	41
Cluster-391.0	0	0	0	0	0	31
Cluster-392.0	0	0	0	0	0	18
Cluster-393.0	0	0	0	0	0	14
Cluster-394.0	0	0	0	0	0	13
Cluster-395.0	0	0	0	0	0	18
Cluster-396.0	0	0	0	0	0	25
Cluster-397.0	0	0	0	0	0	16
Cluster-398.0	0	0	35	0	19	64
Cluster-399.0	0	0	0	0	0	29
Cluster-400.0	0	0	0	0	0	23
Cluster-401.0	0	0	0	0	0	14
Cluster-402.0	0	0	0	0	0	11
Cluster-403.0	0	0	0	0	0	13
Cluster-404.0	0	0	0	0	0	24
Cluster-405.0	0	0	0	0	0	19
Cluster-406.0	0	0	0	0	0	21
Cluster-407.0	0	0	0	0	0	38
Cluster-408.0	0	0	0	0	0	18
Cluster-409.0	0	0	0	0	0	34
Cluster-410.0	0	0	0	0	0	17
Cluster-411.0	0	0	0	0	0	16
Cluster-412.0	0	0	0	0	0	19
Cluster-413.0	0	0	0	0	0	14
Cluster-414.0	0	0	0	0	0	33
Cluster-415.0	0	0	0	0	0	27
Cluster-416.0	0	0	0	0	0	15
Cluster-417.0	0	0	0	0	0	40
Cluster-418.0	0	0	0	0	0	40
Cluster-419.0	0	0	0	0	0	10
Cluster-420.0	0	0	0	0	0	10
Cluster-421.0	0	0	0	0	0	21
Cluster-422.0	0	0	0	0	0	15
Cluster-423.0	0	0	0	0	0	20
Cluster-424.0	0	0	0	0	0	30
Cluster-425.0	0	0	0	0	0	12
Cluster-426.0	0	0	0	0	0	32
Cluster-427.0	0	0	0	0	0	25
Cluster-428.0	0	0	0	0	0	37
Cluster-429.0	0	0	0	0	0	77
Cluster-430.0	0	0	0	0	0	70
Cluster-431.0	0	0	0	0	0	37
Cluster-432.0	0	0	0	0	0	45
Cluster-433.0	0	0	0	0	0	22
Cluster-434.0	0	0	0	0	0	22
Cluster-435.0	0	0	0	0	0	30
Cluster-436.0	0	0	0	0	0	28
Cluster-437.0	0	0	0	0	0	35
Cluster-438.0	0	0	0	0	0	47
Cluster-439.0	0	0	0	0	0	28
Cluster-440.0	0	0	0	0	0	26
Cluster-441.0	0	0	0	0	0	20
Cluster-441.1	0	0	0	38	41	27
Cluster-442.0	0	0	0	0	0	21
Cluster-443.0	0	0	0	0	0	20
Cluster-444.0	0	0	0	0	0	38
Cluster-445.0	0	0	0	0	0	190
Cluster-446.0	0	0	0	0	0	27
Cluster-447.0	0	0	0	0	0	12
Cluster-448.0	0	0	0	0	0	29
Cluster-449.0	0	0	0	0	0	16
Cluster-450.0	0	0	0	0	0	13
Cluster-451.0	0	0	0	0	0	15
Cluster-452.0	0	0	0	0	0	29
Cluster-453.0	0	0	0	0	0	23
Cluster-454.0	0	0	0	0	0	29
Cluster-455.0	0	0	0	0	0	49
Cluster-456.0	0	0	0	0	0	19
Cluster-457.0	0	0	0	0	0	11
Cluster-458.0	0	0	0	0	0	37
Cluster-459.0	0	0	0	0	0	26
Cluster-460.0	0	0	0	0	0	19
Cluster-461.0	0	0	0	0	0	30
Cluster-462.0	0	0	0	0	0	28
Cluster-463.0	0	0	0	0	0	20
Cluster-464.0	0	0	0	0	0	33
Cluster-465.0	0	0	0	0	0	25
Cluster-466.0	0	0	0	0	0	20
Cluster-467.0	0	0	0	0	0	17
Cluster-468.0	0	0	0	0	4	40
Cluster-469.0	0	0	0	0	0	32
Cluster-470.0	0	0	0	0	0	12
Cluster-471.0	0	0	0	0	0	37
Cluster-472.0	0	0	0	0	0	20
Cluster-473.0	0	0	0	0	0	18
Cluster-474.0	0	0	0	0	0	13
Cluster-475.0	0	0	0	0	0	27
Cluster-476.0	0	0	0	0	0	21
Cluster-477.0	0	0	0	0	0	29
Cluster-478.0	0	0	0	0	0	18
Cluster-479.0	0	0	0	0	0	17
Cluster-480.0	0	0	0	0	0	31
Cluster-481.0	0	0	0	0	0	15
Cluster-482.0	0	0	0	0	0	42
Cluster-483.0	0	0	0	0	0	21
Cluster-484.0	0	0	0	0	0	26
Cluster-485.0	0	0	0	0	0	31
Cluster-486.0	0	0	0	0	0	12
Cluster-487.0	0	0	0	0	0	31
Cluster-488.0	0	0	0	0	0	26
Cluster-489.0	0	0	0	0	0	18
Cluster-490.0	0	0	0	0	0	37
Cluster-491.0	0	0	0	0	0	13
Cluster-492.0	0	0	0	0	0	47
Cluster-493.0	0	0	0	0	0	36
Cluster-494.0	0	0	0	0	0	13
Cluster-495.0	0	0	0	0	0	25
Cluster-496.0	0	0	0	0	0	23
Cluster-497.0	0	0	0	0	0	39
Cluster-498.0	0	0	0	0	0	21
Cluster-499.0	0	0	0	0	0	11
Cluster-500.0	0	0	0	0	0	18
Cluster-501.0	0	0	0	0	0	14
Cluster-502.0	0	0	0	0	0	27
Cluster-503.0	0	0	0	0	0	43
Cluster-504.0	0	0	0	0	0	38
Cluster-505.0	0	0	0	0	0	27
Cluster-506.0	0	0	0	0	0	19
Cluster-507.0	0	0	0	0	0	25
Cluster-508.0	0	0	0	0	0	24
Cluster-509.0	0	0	0	0	0	23
Cluster-510.0	0	0	0	0	0	12
Cluster-511.0	0	0	0	0	0	31
Cluster-512.0	0	0	0	0	0	22
Cluster-513.0	0	0	0	0	0	21
Cluster-514.0	0	0	0	0	0	13
