	WC1E	WC1T	WC2E	WC2T	WC3E	WC3T	WH3E	WH5E	WH5T	WH6E	WH6T
Cluster-180.0	0	0	0	0	0	0	0	0	0	0	31
Cluster-181.0	0	0	0	0	0	0	0	0	0	0	32
Cluster-182.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-183.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-184.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-185.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-186.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-187.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-188.0	0	0	0	0	0	0	0	0	0	0	18
Cluster-189.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-190.0	0	0	0	0	0	0	0	0	0	0	30
Cluster-191.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-192.0	0	0	0	0	0	0	0	0	0	0	18
Cluster-193.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-193.1	0	0	0	0	0	0	0	0	0	0	11
Cluster-194.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-195.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-196.0	0	0	0	0	0	0	0	2	0	0	161
Cluster-197.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-197.1	2	0	0	0	0	0	0	0	0	0	113
Cluster-198.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-199.0	0	0	0	0	0	0	0	0	0	0	23
Cluster-200.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-201.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-202.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-203.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-204.0	0	0	0	0	0	0	0	0	0	0	104
Cluster-205.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-205.1	0	0	0	0	0	0	0	1	0	0	11
Cluster-205.2	0	0	0	1	0	0	0	0	0	7	5
Cluster-205.3	0	0	0	0	0	0	0	3	0	10	9
Cluster-205.4	0	0	0	0	0	0	0	0	0	5	23
Cluster-206.0	0	0	0	0	0	0	0	0	0	0	42
Cluster-207.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-208.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-209.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-210.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-211.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-212.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-212.1	0	0	7	0	0	0	0	0	0	0	2
Cluster-212.2	4	0	0	0	3	0	0	0	0	13	28
Cluster-213.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-214.0	0	0	0	0	0	0	0	0	0	0	27
Cluster-215.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-216.0	0	0	0	0	0	0	0	0	0	0	37
Cluster-217.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-218.0	0	0	0	0	0	0	0	0	0	0	24
Cluster-219.0	0	0	0	0	0	0	0	0	0	0	27
Cluster-219.1	0	0	0	0	0	0	0	0	0	0	203
Cluster-220.0	0	0	0	0	0	0	0	0	0	0	24
Cluster-221.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-221.1	12	10	0	5	3	12	0	0	0	14	368
Cluster-222.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-223.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-224.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-225.0	0	0	0	0	0	0	0	0	0	0	24
Cluster-226.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-227.0	0	0	0	0	0	0	0	0	0	0	8
Cluster-227.1	0	0	0	0	0	0	0	0	0	0	9
Cluster-227.2	0	0	0	0	0	0	0	0	0	0	12
Cluster-228.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-229.0	0	0	0	0	0	0	0	0	0	0	21
Cluster-230.0	0	0	0	0	0	0	0	0	0	0	11
